Trajectory,label1,label2,label3,label4,label5,label6,label7,label8,label9,label10,label11
143,TT,IC,SC,ST,,,,,,,
144,SC,,,,,,,,,,
145,SC,,,,,,,,,,
146,IC,,,,,,,,,,
147,SC,,,,,,,,,,
148,SC,,,,,,,,,,
149,IC,SC,,,,,,,,,
150,SO,,,,,,,,,,
151,SO,,,,,,,,,,
152,ST,,,,,,,,,,
153,TT,IC,SC,,,,,,,,
154,SO,,,,,,,,,,
155,DF,,,,,,,,,,
156,SO,,,,,,,,,,
157,TT,IC,,,,,,,,,
158,IC,SC,,,,,,,,,
159,IC,,,,,,,,,,
160,IC,,,,,,,,,,
161,SO,,,,,,,,,,
162,DF,,,,,,,,,,
163,SO,,,,,,,,,,
164,SO,,,,,,,,,,
165,SO,,,,,,,,,,
166,SO,,,,,,,,,,
167,ST,,,,,,,,,,
168,DF,,,,,,,,,,
169,SO,,,,,,,,,,
170,DF,,,,,,,,,,
171,SO,,,,,,,,,,
172,DF,,,,,,,,,,
173,TT,IC,SC,,,,,,,,
174,SC,,,,,,,,,,
175,ST,,,,,,,,,,
176,ST,,,,,,,,,,
177,IC,,,,,,,,,,
178,TT,IC,,,,,,,,,
179,TT,IC,SC,,,,,,,,
180,TT,IC,,,,,,,,,
181,TT,IC,,,,,,,,,
182,IC,SC,,,,,,,,,
183,SO,ST,,,,,,,,,
184,ST,SO,,,,,,,,,
185,DF,,,,,,,,,,
186,DF,,,,,,,,,,
187,DF,,,,,,,,,,
188,DF,,,,,,,,,,
189,DF,,,,,,,,,,
190,ST,,,,,,,,,,
191,DF,,,,,,,,,,
192,ST,,,,,,,,,,
193,TT,IC,,,,,,,,,
194,IC,,,,,,,,,,
195,DF,,,,,,,,,,
196,SO,SC,,,,,,,,,
197,SO,,,,,,,,,,
198,DF,,,,,,,,,,
199,DF,,,,,,,,,,
200,DF,,,,,,,,,,
201,SC,ST,,,,,,,,,
202,DF,,,,,,,,,,
203,DF,,,,,,,,,,
204,SO,,,,,,,,,,
205,TT,IC,SC,,,,,,,,
206,DF,,,,,,,,,,
207,DF,,,,,,,,,,
208,DF,,,,,,,,,,
209,IC,ST,,,,,,,,,
210,DF,,,,,,,,,,
211,DF,,,,,,,,,,
212,SC,,,,,,,,,,
213,DF,,,,,,,,,,
214,DF,,,,,,,,,,
215,DF,,,,,,,,,,
216,DF,,,,,,,,,,
217,TT,IC,SC,,,,,,,,
218,SC,,,,,,,,,,
219,ST,SC,,,,,,,,,
220,SO,,,,,,,,,,
221,SO,,,,,,,,,,
222,DF,,,,,,,,,,
223,SC,ST,,,,,,,,,
224,SO,,,,,,,,,,
225,SO,,,,,,,,,,
226,DF,,,,,,,,,,
227,DF,,,,,,,,,,
228,DF,,,,,,,,,,
229,ST,,,,,,,,,,
230,DF,,,,,,,,,,
231,DF,,,,,,,,,,
232,SO,DF,,,,,,,,,
233,SO,,,,,,,,,,
234,DF,,,,,,,,,,
235,DF,,,,,,,,,,
236,SO,DF,,,,,,,,,
237,TT,IC,,,,,,,,,
238,IC,SC,ST,,,,,,,,
239,DF,,,,,,,,,,
240,SO,,,,,,,,,,
241,TT,IC,,,,,,,,,
242,TT,IC,,,,,,,,,
243,SO,,,,,,,,,,
244,IC,,,,,,,,,,
245,TT,IC,,,,,,,,,
246,TT,IC,SC,,,,,,,,
247,TT,IC,,,,,,,,,
248,TT,IC,SC,,,,,,,,
249,TT,IC,,,,,,,,,
250,TT,IC,SC,,,,,,,,
251,DF,,,,,,,,,,
252,TT,IC,,,,,,,,,
253,TT,IC,,,,,,,,,
254,IC,,,,,,,,,,
255,TT,IC,,,,,,,,,
256,TT,IC,,,,,,,,,
257,TT,IC,,,,,,,,,
258,TT,,,,,,,,,,
259,IC,SC,,,,,,,,,
260,TT,IC,,,,,,,,,
261,TT,IC,,,,,,,,,
262,IC,,,,,,,,,,
263,TT,IC,SC,,,,,,,,
264,TT,,,,,,,,,,
265,TT,IC,SC,,,,,,,,
266,TT,IC,SC,,,,,,,,
267,IC,SC,,,,,,,,,
268,IC,,,,,,,,,,
269,TT,IC,SC,,,,,,,,
270,SC,,,,,,,,,,
271,ST,SC,,,,,,,,,
272,SO,,,,,,,,,,
273,TT,IC,,,,,,,,,
274,DF,,,,,,,,,,
275,TT,IC,,,,,,,,,
276,TT,IC,SC,,,,,,,,
277,TT,IC,,,,,,,,,
278,SC,IC,,,,,,,,,
279,SC,,,,,,,,,,
280,TT,IC,,,,,,,,,
281,TT,IC,,,,,,,,,
282,ST,,,,,,,,,,
283,SC,,,,,,,,,,
284,SC,,,,,,,,,,
285,TT,IC,,,,,,,,,
286,TT,IC,,,,,,,,,
287,TT,IC,,,,,,,,,
288,TT,IC,,,,,,,,,
289,TT,IC,,,,,,,,,
290,TT,IC,ST,,,,,,,,
291,IC,ST,,,,,,,,,
292,TT,IC,,,,,,,,,
293,TT,IC,,,,,,,,,
294,TT,IC,,,,,,,,,
295,TT,IC,,,,,,,,,
296,TT,IC,,,,,,,,,
297,TT,,,,,,,,,,
298,TT,IC,SC,,,,,,,,
299,IC,ST,,,,,,,,,
300,TT,IC,,,,,,,,,
301,TT,IC,,,,,,,,,
302,TT,IC,,,,,,,,,
303,SC,IC,,,,,,,,,
304,SO,,,,,,,,,,
305,TT,,,,,,,,,,
306,IC,,,,,,,,,,
307,IC,,,,,,,,,,
308,SC,,,,,,,,,,
309,TT,IC,,,,,,,,,
310,SO,,,,,,,,,,
311,SO,,,,,,,,,,
312,IC,ST,,,,,,,,,
313,TT,SC,,,,,,,,,
314,SC,IC,,,,,,,,,
315,IC,SC,,,,,,,,,
316,IC,SC,,,,,,,,,
317,TT,IC,,,,,,,,,
318,TT,IC,,,,,,,,,
319,DF,,,,,,,,,,
320,DF,,,,,,,,,,
321,TT,IC,,,,,,,,,
322,TT,IC,,,,,,,,,
323,SC,ST,ST,,,,,,,,
324,ST,,,,,,,,,,
325,TT,IC,,,,,,,,,
326,TT,IC,,,,,,,,,
327,TT,IC,,,,,,,,,
328,TT,IC,SC,,,,,,,,
329,TT,IC,,,,,,,,,
330,TT,IC,,,,,,,,,
331,DF,,,,,,,,,,
332,TT,IC,,,,,,,,,
333,TT,IC,,,,,,,,,
334,TT,IC,SC,,,,,,,,
335,TT,IC,,,,,,,,,
336,TT,IC,,,,,,,,,
337,SC,,,,,,,,,,
338,ST,SC,,,,,,,,,
339,ST,,,,,,,,,,
340,SC,,,,,,,,,,
341,TT,IC,,,,,,,,,
342,TT,IC,,,,,,,,,
343,TT,IC,,,,,,,,,
344,TT,IC,,,,,,,,,
345,TT,IC,,,,,,,,,
346,TT,IC,,,,,,,,,
347,TT,IC,,,,,,,,,
348,IC,,,,,,,,,,
349,SC,,,,,,,,,,
350,TT,IC,,,,,,,,,
351,SC,,,,,,,,,,
352,TT,IC,,,,,,,,,
353,IC,SC,,,,,,,,,
354,ST,,,,,,,,,,
355,TT,IC,ST,,,,,,,,
356,DF,,,,,,,,,,
357,TT,IC,,,,,,,,,
358,TT,IC,ST,,,,,,,,
359,TT,IC,ST,,,,,,,,
360,TT,IC,,,,,,,,,
361,TT,IC,,,,,,,,,
362,SC,ST,,,,,,,,,
363,DF,,,,,,,,,,
364,ST,,,,,,,,,,
365,TT,,,,,,,,,,
366,TT,IC,ST,,,,,,,,
367,ST,,,,,,,,,,
368,SO,,,,,,,,,,
369,TT,IC,SC,,,,,,,,
370,TT,IC,,,,,,,,,
371,TT,IC,,,,,,,,,
372,TT,IC,,,,,,,,,
373,DF,,,,,,,,,,
374,IC,SC,,,,,,,,,
375,SO,,,,,,,,,,
376,SO,,,,,,,,,,
377,SO,,,,,,,,,,
378,DF,,,,,,,,,,
379,ST,,,,,,,,,,
380,DF,,,,,,,,,,
381,IC,SC,ST,,,,,,,,
382,IC,SC,,,,,,,,,
383,SC,,,,,,,,,,
384,TT,IC,,,,,,,,,
385,TT,IC,,,,,,,,,
386,ST,,,,,,,,,,
387,IC,,,,,,,,,,
388,SO,,,,,,,,,,
389,SO,,,,,,,,,,
390,DF,,,,,,,,,,
391,SO,,,,,,,,,,
392,SO,,,,,,,,,,
393,TT,IC,,,,,,,,,
394,DF,,,,,,,,,,
395,SO,,,,,,,,,,
396,SC,ST,,,,,,,,,
397,TT,ST,,,,,,,,,
398,TT,SC,,,,,,,,,
399,IC,,,,,,,,,,
400,IC,,,,,,,,,,
401,DF,,,,,,,,,,
402,SO,,,,,,,,,,
403,DF,,,,,,,,,,
404,SC,,,,,,,,,,
405,DF,,,,,,,,,,
406,SC,,,,,,,,,,
407,DF,,,,,,,,,,
408,DF,,,,,,,,,,
409,TT,IC,,,,,,,,,
410,DF,,,,,,,,,,
411,DF,,,,,,,,,,
412,DF,,,,,,,,,,
413,DF,,,,,,,,,,
414,SC,,,,,,,,,,
415,TT,IC,ST,,,,,,,,
416,DF,,,,,,,,,,
417,TT,IC,,,,,,,,,
418,DF,,,,,,,,,,
419,SC,,,,,,,,,,
420,TT,IC,,,,,,,,,
421,TT,SC,,,,,,,,,
422,SO,DF,,,,,,,,,
423,SO,,,,,,,,,,
424,TT,ST,,,,,,,,,
425,DF,,,,,,,,,,
426,TT,IC,ST,,,,,,,,
427,DF,,,,,,,,,,
428,SC,,,,,,,,,,
429,SC,,,,,,,,,,
430,ST,,,,,,,,,,
431,DF,,,,,,,,,,
432,ST,,,,,,,,,,
433,SC,,,,,,,,,,
434,ST,,,,,,,,,,
435,IC,SC,,,,,,,,,
436,ST,,,,,,,,,,
437,TT,IC,SC,,,,,,,,
438,TT,IC,,,,,,,,,
439,ST,,,,,,,,,,
440,SO,,,,,,,,,,
441,SC,,,,,,,,,,
442,DF,,,,,,,,,,
443,DF,,,,,,,,,,
444,SC,ST,,,,,,,,,
445,TT,IC,,,,,,,,,
446,TT,,,,,,,,,,
447,IC,SC,,,,,,,,,
448,IC,SC,,,,,,,,,
449,IC,SC,,,,,,,,,
450,SC,,,,,,,,,,
451,DF,,,,,,,,,,
452,SC,,,,,,,,,,
453,TT,IC,,,,,,,,,
454,SO,,,,,,,,,,
455,SO,,,,,,,,,,
456,DF,,,,,,,,,,
457,TT,IC,SC,,,,,,,,
458,TT,IC,,,,,,,,,
459,IC,SC,,,,,,,,,
460,TT,IC,,,,,,,,,
461,TT,IC,,,,,,,,,
462,TT,IC,,,,,,,,,
463,TT,IC,,,,,,,,,
464,TT,IC,,,,,,,,,
465,TT,IC,,,,,,,,,
466,TT,IC,,,,,,,,,
467,TT,IC,,,,,,,,,
468,TT,IC,,,,,,,,,
469,TT,IC,,,,,,,,,
470,TT,IC,,,,,,,,,
471,TT,IC,,,,,,,,,
472,IC,,,,,,,,,,
473,DF,,,,,,,,,,
474,TT,IC,SC,,,,,,,,
475,TT,IC,,,,,,,,,
476,TT,IC,,,,,,,,,
477,TT,IC,,,,,,,,,
478,TT,IC,,,,,,,,,
479,TT,IC,SC,,,,,,,,
480,DF,,,,,,,,,,
481,TT,IC,,,,,,,,,
482,SC,,,,,,,,,,
483,IC,,,,,,,,,,
484,TT,IC,,,,,,,,,
485,TT,IC,,,,,,,,,
486,IC,SC,,,,,,,,,
487,IC,SC,,,,,,,,,
488,DF,,,,,,,,,,
489,TT,IC,,,,,,,,,
490,TT,IC,,,,,,,,,
491,IC,SC,,,,,,,,,
492,IC,,,,,,,,,,
493,TT,IC,,,,,,,,,
494,IC,SC,,,,,,,,,
495,SC,,,,,,,,,,
496,TT,IC,,,,,,,,,
497,TT,SC,,,,,,,,,
498,TT,IC,,,,,,,,,
499,IC,ST,,,,,,,,,
500,IC,SC,,,,,,,,,
501,TT,IC,SC,ST,,,,,,,
502,TT,IC,,,,,,,,,
503,TT,IC,,,,,,,,,
504,IC,,,,,,,,,,
505,TT,IC,,,,,,,,,
506,SC,ST,,,,,,,,,
507,IC,SC,,,,,,,,,
508,IC,,,,,,,,,,
509,TT,,,,,,,,,,
510,TT,IC,,,,,,,,,
511,IC,,,,,,,,,,
512,SC,,,,,,,,,,
513,IC,,,,,,,,,,
514,TT,SC,,,,,,,,,
515,IC,,,,,,,,,,
516,IC,,,,,,,,,,
517,TT,IC,,,,,,,,,
518,TT,,,,,,,,,,
519,SC,,,,,,,,,,
520,DF,,,,,,,,,,
521,TT,IC,,,,,,,,,
522,TT,IC,,,,,,,,,
523,DF,,,,,,,,,,
524,IC,SC,,,,,,,,,
525,SO,,,,,,,,,,
526,SC,,,,,,,,,,
527,SC,,,,,,,,,,
528,DF,SC,,,,,,,,,
529,DF,,,,,,,,,,
530,TT,SC,,,,,,,,,
531,SO,,,,,,,,,,
532,SC,IC,,,,,,,,,
533,IC,,,,,,,,,,
534,DF,,,,,,,,,,
535,IC,,,,,,,,,,
536,SC,,,,,,,,,,
537,IC,,,,,,,,,,
538,IC,,,,,,,,,,
539,IC,,,,,,,,,,
540,SC,,,,,,,,,,
541,IC,,,,,,,,,,
542,SO,,,,,,,,,,
543,SO,,,,,,,,,,
544,SC,,,,,,,,,,
545,TT,IC,,,,,,,,,
546,ST,,,,,,,,,,
547,SO,,,,,,,,,,
548,IC,SC,,,,,,,,,
549,TT,IC,,,,,,,,,
550,TT,IC,,,,,,,,,
551,TT,IC,,,,,,,,,
552,SC,,,,,,,,,,
553,TT,IC,,,,,,,,,
554,TT,IC,,,,,,,,,
555,DF,,,,,,,,,,
556,SO,,,,,,,,,,
557,TT,IC,,,,,,,,,
558,IC,,,,,,,,,,
559,TT,IC,,,,,,,,,
560,SO,,,,,,,,,,
561,TT,IC,SC,,,,,,,,
562,SC,,,,,,,,,,
563,SC,ST,,,,,,,,,
564,ST,,,,,,,,,,
565,SC,,,,,,,,,,
566,TT,IC,SC,,,,,,,,
567,SO,,,,,,,,,,
568,SC,SO,,,,,,,,,
569,ST,,,,,,,,,,
570,SO,,,,,,,,,,
571,SO,,,,,,,,,,
572,SO,SC,,,,,,,,,
573,TT,IC,,,,,,,,,
574,TT,IC,,,,,,,,,
575,IC,,,,,,,,,,
576,SO,,,,,,,,,,
577,TT,IC,,,,,,,,,
578,SO,,,,,,,,,,
579,SC,,,,,,,,,,
580,SC,,,,,,,,,,
581,TT,IC,,,,,,,,,
582,TT,IC,,,,,,,,,
583,SO,,,,,,,,,,
584,IC,,,,,,,,,,
585,TT,IC,,,,,,,,,
586,SO,,,,,,,,,,
587,SC,ST,,,,,,,,,
588,DF,,,,,,,,,,
589,IC,,,,,,,,,,
590,SC,,,,,,,,,,
591,SC,ST,,,,,,,,,
592,SC,,,,,,,,,,
593,TT,,,,,,,,,,
594,TT,IC,,,,,,,,,
595,IC,,,,,,,,,,
596,SC,,,,,,,,,,
597,TT,,,,,,,,,,
598,IC,SC,,,,,,,,,
599,DF,,,,,,,,,,
600,DF,,,,,,,,,,
601,TT,IC,SC,,,,,,,,
602,SC,ST,,,,,,,,,
603,SC,,,,,,,,,,
604,SC,,,,,,,,,,
605,DF,,,,,,,,,,
606,SC,ST,,,,,,,,,
607,DF,,,,,,,,,,
608,SC,,,,,,,,,,
609,TT,SC,,,,,,,,,
610,SC,,,,,,,,,,
611,DF,,,,,,,,,,
612,IC,,,,,,,,,,
613,IC,,,,,,,,,,
614,TT,IC,,,,,,,,,
615,IC,SC,,,,,,,,,
616,DF,,,,,,,,,,
617,DF,,,,,,,,,,
618,TT,IC,,,,,,,,,
619,DF,,,,,,,,,,
620,SC,,,,,,,,,,
621,IC,SC,,,,,,,,,
622,SO,,,,,,,,,,
623,DF,,,,,,,,,,
624,IC,,,,,,,,,,
625,TT,IC,,,,,,,,,
626,DF,,,,,,,,,,
627,IC,,,,,,,,,,
628,IC,SC,,,,,,,,,
629,SC,ST,,,,,,,,,
630,SC,,,,,,,,,,
631,IC,SC,ST,,,,,,,,
632,TT,,,,,,,,,,
633,DF,,,,,,,,,,
634,IC,SC,,,,,,,,,
635,SC,,,,,,,,,,
636,IC,SC,,,,,,,,,
637,IC,SC,,,,,,,,,
638,SO,,,,,,,,,,
639,SC,ST,,,,,,,,,
640,IC,SC,,,,,,,,,
641,SC,,,,,,,,,,
642,SC,,,,,,,,,,
643,DF,,,,,,,,,,
644,TT,IC,,,,,,,,,
645,TT,IC,,,,,,,,,
646,IC,SC,,,,,,,,,
647,DF,,,,,,,,,,
648,SC,,,,,,,,,,
649,DF,,,,,,,,,,
650,TT,SC,ST,,,,,,,,
651,IC,SC,ST,,,,,,,,
652,IC,SC,,,,,,,,,
653,IC,SC,,,,,,,,,
654,SC,,,,,,,,,,
655,DF,,,,,,,,,,
656,DF,,,,,,,,,,
657,IC,ST,,,,,,,,,
658,IC,SC,,,,,,,,,
659,IC,SC,,,,,,,,,
660,DF,,,,,,,,,,
661,DF,,,,,,,,,,
662,DF,,,,,,,,,,
663,ST,,,,,,,,,,
664,SC,ST,,,,,,,,,
665,TT,IC,SC,,,,,,,,
666,SC,,,,,,,,,,
667,SO,,,,,,,,,,
668,SC,,,,,,,,,,
669,DF,,,,,,,,,,
670,IC,SC,,,,,,,,,
671,SO,,,,,,,,,,
672,IC,SC,,,,,,,,,
673,SO,,,,,,,,,,
674,IC,SC,,,,,,,,,
675,DF,,,,,,,,,,
676,SC,,,,,,,,,,
677,DF,,,,,,,,,,
678,DF,,,,,,,,,,
679,DF,,,,,,,,,,
680,DF,,,,,,,,,,
681,SC,ST,,,,,,,,,
682,IC,SC,,,,,,,,,
683,DF,,,,,,,,,,
684,IC,TT,,,,,,,,,
